"Timestamp","Distance Filter","Accuracy","Speed","Course","Distance","Latitude","Longitude"
2017-08-26_08:40:11,0,10,14,347,5,33.86444,-118.39295
2017-08-26_08:40:12,0,10,11,347,4,33.86447,-118.39296
2017-08-26_08:40:13,0,10,7,345,2,33.86449,-118.39296
2017-08-26_08:40:14,0,10,3,347,2,33.86450,-118.39296
2017-08-26_08:40:15,0,10,0,347,0,33.86450,-118.39296
2017-08-26_08:40:17,0,10,2,347,2,33.86449,-118.39297
2017-08-26_08:40:18,0,10,2,347,1,33.86449,-118.39297
2017-08-26_08:40:19,0,10,2,347,1,33.86449,-118.39296
2017-08-26_08:40:20,0,10,0,347,0,33.86449,-118.39296
2017-08-26_08:40:21,0,10,0,347,0,33.86449,-118.39296
2017-08-26_08:40:26,0,10,0,347,0,33.86449,-118.39296
2017-08-26_08:40:34,0,10,6,347,1,33.86449,-118.39297
2017-08-26_08:40:35,0,10,12,347,3,33.86451,-118.39298
2017-08-26_08:40:36,0,10,16,347,5,33.86455,-118.39299
2017-08-26_08:40:37,0,10,18,347,5,33.86459,-118.39300
2017-08-26_08:40:38,0,10,20,347,6,33.86464,-118.39302
2017-08-26_08:40:39,0,10,20,332,6,33.86468,-118.39304
2017-08-26_08:40:40,0,10,20,329,6,33.86471,-118.39308
2017-08-26_08:40:41,0,10,23,292,7,33.86473,-118.39314
2017-08-26_08:40:42,0,10,25,274,7,33.86474,-118.39322
2017-08-26_08:40:43,0,10,29,272,10,33.86476,-118.39331
2017-08-26_08:40:44,0,10,30,282,9,33.86477,-118.39340
2017-08-26_08:40:45,0,10,29,286,9,33.86479,-118.39349
2017-08-26_08:40:46,0,10,28,288,9,33.86481,-118.39358
2017-08-26_08:40:47,0,10,28,286,8,33.86483,-118.39366
2017-08-26_08:40:48,0,10,29,283,8,33.86485,-118.39374
2017-08-26_08:40:49,0,10,29,280,9,33.86486,-118.39383
2017-08-26_08:40:50,0,10,29,276,8,33.86488,-118.39391
2017-08-26_08:40:51,0,10,28,273,9,33.86488,-118.39399
2017-08-26_08:40:52,0,10,24,268,8,33.86489,-118.39407
2017-08-26_08:40:53,0,10,22,265,7,33.86488,-118.39414
2017-08-26_08:40:54,0,10,23,260,7,33.86487,-118.39420
2017-08-26_08:40:55,0,10,27,259,8,33.86486,-118.39428
2017-08-26_08:40:56,0,10,33,258,9,33.86484,-118.39437
2017-08-26_08:40:57,0,10,36,256,10,33.86482,-118.39447
2017-08-26_08:40:58,0,10,37,255,11,33.86480,-118.39457
2017-08-26_08:40:59,0,10,36,255,10,33.86478,-118.39467
2017-08-26_08:41:00,0,10,33,255,10,33.86476,-118.39477
2017-08-26_08:41:01,0,10,29,254,9,33.86474,-118.39486
2017-08-26_08:41:02,0,10,25,255,8,33.86473,-118.39493
2017-08-26_08:41:03,0,10,18,256,6,33.86471,-118.39499
2017-08-26_08:41:04,0,10,9,256,3,33.86471,-118.39501
2017-08-26_08:41:05,0,10,3,257,2,33.86471,-118.39503
2017-08-26_08:41:06,0,10,8,257,2,33.86470,-118.39505
2017-08-26_08:41:07,0,10,15,256,4,33.86469,-118.39508
2017-08-26_08:41:08,0,10,20,256,5,33.86469,-118.39513
2017-08-26_08:41:09,0,10,20,256,6,33.86468,-118.39519
2017-08-26_08:41:10,0,10,19,255,6,33.86467,-118.39524
2017-08-26_08:41:11,0,10,19,255,6,33.86465,-118.39530
2017-08-26_08:41:12,0,10,15,254,5,33.86464,-118.39534
2017-08-26_08:41:13,0,10,8,254,3,33.86464,-118.39537
2017-08-26_08:41:14,0,10,3,254,2,33.86463,-118.39538
2017-08-26_08:41:15,0,10,5,254,1,33.86463,-118.39539
2017-08-26_08:41:16,0,10,12,254,3,33.86463,-118.39542
2017-08-26_08:41:17,0,10,18,253,5,33.86462,-118.39546
2017-08-26_08:41:18,0,10,22,253,6,33.86460,-118.39552
2017-08-26_08:41:19,0,10,26,253,7,33.86459,-118.39559
2017-08-26_08:41:20,0,10,27,254,7,33.86457,-118.39566
2017-08-26_08:41:21,0,10,29,256,8,33.86455,-118.39574
2017-08-26_08:41:22,0,10,29,256,8,33.86454,-118.39583
2017-08-26_08:41:23,0,10,28,257,8,33.86453,-118.39591
2017-08-26_08:41:24,0,10,23,256,7,33.86451,-118.39598
2017-08-26_08:41:25,0,10,18,255,6,33.86450,-118.39604
2017-08-26_08:41:26,0,10,13,256,4,33.86449,-118.39608
2017-08-26_08:41:27,0,10,8,256,3,33.86449,-118.39611
2017-08-26_08:41:28,0,10,4,256,2,33.86448,-118.39612
2017-08-26_08:41:29,0,10,5,256,2,33.86448,-118.39614
2017-08-26_08:41:30,0,10,11,256,3,33.86448,-118.39616
2017-08-26_08:41:31,0,10,17,255,4,33.86446,-118.39620
2017-08-26_08:41:32,0,10,21,253,6,33.86445,-118.39625
2017-08-26_08:41:33,0,10,25,253,7,33.86444,-118.39632
2017-08-26_08:41:34,0,10,27,255,8,33.86442,-118.39640
2017-08-26_08:41:35,0,10,30,255,8,33.86440,-118.39648
2017-08-26_08:41:36,0,10,33,254,9,33.86438,-118.39656
2017-08-26_08:41:37,0,10,31,257,9,33.86437,-118.39665
2017-08-26_08:41:38,0,10,29,262,8,33.86435,-118.39674
2017-08-26_08:41:39,0,10,31,261,9,33.86434,-118.39683
2017-08-26_08:41:40,0,10,34,257,9,33.86433,-118.39693
2017-08-26_08:41:41,0,10,37,256,10,33.86431,-118.39703
2017-08-26_08:41:42,0,10,39,257,11,33.86428,-118.39714
2017-08-26_08:41:43,0,10,38,257,12,33.86426,-118.39725
2017-08-26_08:41:44,0,10,39,257,11,33.86424,-118.39736
2017-08-26_08:41:45,0,10,39,255,11,33.86422,-118.39747
2017-08-26_08:41:46,0,10,39,252,11,33.86419,-118.39757
2017-08-26_08:41:47,0,10,39,250,11,33.86416,-118.39768
2017-08-26_08:41:48,0,10,39,248,11,33.86412,-118.39779
2017-08-26_08:41:49,0,10,39,244,11,33.86408,-118.39789
2017-08-26_08:41:50,0,10,39,242,12,33.86403,-118.39800
2017-08-26_08:41:51,0,10,38,239,11,33.86398,-118.39810
2017-08-26_08:41:52,0,10,34,238,10,33.86394,-118.39819
2017-08-26_08:41:53,0,10,29,237,9,33.86390,-118.39826
2017-08-26_08:41:54,0,10,21,236,6,33.86387,-118.39831
2017-08-26_08:41:55,0,10,11,234,5,33.86385,-118.39835
2017-08-26_08:41:56,0,10,4,234,2,33.86384,-118.39837
